principio_ativo;nome_comercial;APRESENTAÇÃO
ACECLOFENACO;CECOFLAN;100 MG COM REV CT ENV AL X 12 
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT ENV AL X 12
ACECLOFENACO;ACECLOFENACO;15 MG/G CREM DERM CT BG AL X 30 G 
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 24
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 24
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 6 
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 12
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 16
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 24
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL AL X 6
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL AL X 12
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL AL X 16 
ACECLOFENACO;ACEFLOR;100 MG  COM  REV CT BL AL AL X 24
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT STR AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT STR AL X 24
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT STR AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 24
ACECLOFENACO;ACECLOFENACO;100 MG COM CT BL AL/AL X 12
ACECLOFENACO;ACECLO-GRAN;100 MG COM REV CT BL AL AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12
ACEPONATO DE METILPREDNISOLONA;ADVANTAN;1 MG/G CREM DERM CT BG AL X 15 G
ACEPONATO DE METILPREDNISOLONA;ADVANTAN;1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML
ACEPONATO DE METILPREDNISOLONA;ADVANTAN;1 MG/G EMU DERM CT BG AL X 20 G
ACEPONATO DE METILPREDNISOLONA;ADVANTAN;1 MG/G CREM DERM CT BG AL X 15 G
ACEPONATO DE METILPREDNISOLONA;ADVANTAN;1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML
ACEPONATO DE METILPREDNISOLONA;ADVANTAN;1 MG/G EMU DERM CT BG AL X 20 G
ACETATO DE ABIRATERONA;ZOSTIDE;250 MG COM CT BL AL PLAS PVC/PVDC TRANS X 120
ACETATO DE ABIRATERONA;MATIZ;250 MG COM CT BL AL PLAS TRANS X 120
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;250 MG COM CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;ABMETHA;250 MG COM CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;ZYTIGA;250 MG COM CT FR PLAS OPC X 120
ACETATO DE ABIRATERONA;ZYTIGA®;500 MG COM REV CT FR PLAS PEAD OPC X 60
ACETATO DE ABIRATERONA;VENOMY;250 MG COM CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;250 MG COM CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;ABBA;250 MG COM CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS PEAD OPC X 30
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS PEAD OPC X 60
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;BALEFIO;250 MG COM REV CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;BALEFIO;500 MG COM REV CT FR PLAS PEAD OPC X 60
ACETATO DE ABIRATERONA;RARIJA;250 MG COM REV CT FR PLAS PEAD OPC X 120
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS PEAD OPC X 120
ACETATO DE ATOSIBANA;TRACTOCILE;7.5 MG/ML SOL INJ CT FA VD TRANS X 0.9 ML
ACETATO DE ATOSIBANA;TRACTOCILE;7.5 MG/ML SOL DIL INFUS CT FA VD TRANS X 5 ML
ACETATO DE ATOSIBANA;ACETATO DE ATOSIBANA;7.5 MG/ML SOL DIL INFUS CT FA VD TRANS X 5 ML
ACETATO DE ATOSIBANA;ACETATO DE ATOSIBANA;7.50 MG/ML SOL DIL INJ CT FA VD TRANS X 5 ML
ACETATO DE ATOSIBANA;ATTOSY;7.50 MG/ML SOL DIL INJ CT FA VD TRANS X 5 ML
"ACETATO DE BAZEDOXIFENO;ESTROGÊNIOS CONJUGADOS";DUAVIVE;0.45 MG + 20 MG COM REV LIB PROL CT ENV AL BL AL PLAS TRANS X 30
ACETATO DE CASPOFUNGINA;ACETATO DE CASPOFUNGINA;50 MG PO LIOF SOL INFUS IV CT FA VD TRANS
ACETATO DE CASPOFUNGINA;ACETATO DE CASPOFUNGINA;70 MG PO LIOF SOL INFUS IV  CT FA VD TRANS
ACETATO DE CASPOFUNGINA;BERK;50 MG PO LIOF SOL INFUS IV CT FA VD TRANS
ACETATO DE CASPOFUNGINA;BERK;70 MG PO LIOF SOL INFUS IV CT FA VD TRANS
ACETATO DE CASPOFUNGINA;CANCIDAS;50 MG PO LIOF SOL INFUS IV CT FA VD TRANS
ACETATO DE CASPOFUNGINA;CANCIDAS;70 MG PO LIOF SOL INFUS IV CT FA VD TRANS
ACETATO DE CASPOFUNGINA;KAZFONA;50 MG PO LIOF SOL INFUS IV CT FA VD TRANS
ACETATO DE CASPOFUNGINA;KAZFONA;70 MG PO LIOF SOL INFUS IV CT FA VD TRANS
ACETATO DE CETRORRELIX;CETROTIDE;0.25 MG PO LIOF SOL SC INJCT FA VD TRANS + 1 SER DIL + 2 AGU+ 2 LEN
ACETATO DE CIPROTERONA;ACETATO DE CIPROTERONA;50 MG COM CT BL AL PLAS TRANS X 20
ACETATO DE CIPROTERONA;ANDROCUR;50 MG COM CT BL AL PLAS TRANS X 20
ACETATO DE CIPROTERONA;ANDROCUR;100 MG COM CT BL AL PLAS TRANS X 20
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";SELENE;(0.035 + 2) MG COM REV CT BL AL PLAS PVC/ACLAR OPC X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";SELENE;(0.035 + 2) MG COM REV CT BL AL PLAS PVC/ACLAR OPC X 63 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DICLIN;(2 + 0.035) MG COM REV CT BL AL PLAS PVC TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DICLIN;(2 + 0.035) MG COM REV CT BL AL PLAS PVC TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA + ETINILESTRADIOL;(2 + 0.035)MG COM REV CT BL AL PLAS PVC TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA + ETINILESTRADIOL;(2 + 0.035)MG COM REV CT BL AL PLAS PVC TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";JAQUE;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";JAQUE;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA+ETINILESTRADIOL;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA+ETINILESTRADIOL;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";TESS;(2 + 0.035) MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA + ETINILESTRADIOL;(2.0 + 0.035) MG COM REV CT BL AL PLAS TRANS X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA + ETINILESTRADIOL;(2.0 + 0.035) MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DUNIA 35;(2.0+ 0.035) MG COM REV CT BL AL PLAS PVC TRANS  X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DUNIA 35;(2.0+ 0.035) MG COM REV CT BL AL PLAS PVC TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";SISSY;2 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";SISSY;2 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA + ETINILESTRADIOL;2 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";FERANE 35;2 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";FERANE 35;2 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";LEILA;(2.0 + 0.035) MG COM REV CT BL AL PLAS PVC/PVDC TRANS  X  21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ARTEMIDIS 35;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA+ETINILESTRADIOL;2.0 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DUELLE;(2 + 0.035)MG COM REV CT BL AL PLAS PVC TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DUELLE;(2 + 0.035)MG COM REV CT BL AL PLAS PVC TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";REPOPIL 35;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";REPOPIL 35;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA + ETINILESTRADIOL;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21 
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA + ETINILESTRADIOL;2.00 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DIANE 35;(2.000+ 0.035) MG COM REV CT BL CALEND AL PLAS TRANS X 21
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";DIANE 35;(2.000+ 0.035) MG COM REV CT BL CALEND AL PLAS TRANS X 63
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";ACETATO DE CIPROTERONA+ETINILESTRADIOL;2 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21
"ACETATO DE CIPROTERONA;VALERATO DE ESTRADIOL";CLIMENE;2 MG COM REV X 11 + (2 + 1) MG COM REV X 10 CT BL AL PLAS PVC TRANS
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2.0 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC TRANS  X  21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";AMORA;(2.0 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC TRANS  X  21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";AMORA;(2.0 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  42
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  84
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BELADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BELADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  42
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BELADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BELADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  84
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";CHERRY;(2.00+0.03) MG COM REV CT BL AL PLAS PVC/PVDC TRANSL X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";CHERRY;(2.00+0.03) MG COM REV CT BL AL PLAS PVC/PVDC TRANSL X 21 + 7 PLACEBOS
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";EMILY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";EMILY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  42
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";EMILY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";EMILY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  84
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  42
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  84
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";LIBERFEM;2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";LIBERFEM;2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BEZIANY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BEZIANY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  42
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BEZIANY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";BEZIANY;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  84
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  42
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2 + 0.03) MG COM REV CT BL AL PLAS PVC/PVDC OPC X  84
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2.0 + 0.03) MG COM REV CT BL CALEND AL PLAS TRANS X 21
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2.0 + 0.03) MG COM REV CT BL CALEND AL PLAS TRANS X 42
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2.0 + 0.03) MG COM REV CT BL CALEND AL PLAS TRANS X 63
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2.0 + 0.03) MG COM REV CT BL CALEND AL PLAS TRANS X 84
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";ACETATO DE CLORMADINONA + ETINILESTRADIOL;(2.0 + 0.03) MG COM REV CT BL CALEND AL PLAS TRANS X 105
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";CHERRY;(2.00+0.03) MG COM REV CT BL AL PLAS PVC/PVDC TRANSL X 63
